wavelength	element	 relint	 col	orig
4609.57	Ar	200	30	2001
4657.9  Ar      130     99     1933
4726.87	Ar	200	197	1835
4735.91	Ar	100	210	1822
4764.86	Ar	250	250	1781
4806.02	Ar	200	310	1722
4847.81	Ar	50	370	1662
4879.86	Ar	250	414	1616
4889.04	Ar	25	430	1603
4933.21	Ar	12	492	1539
4965.08	Ar	70	541	1492
5009.33	Ar	15	606	1427
5017.16	Ar	25	618	1416
5062.04	Ar	25	683	1349
5090.49	Ar	7	722	1307
5141.78	Ar	30	802	1230
5269.54	Fe	120	990	1037
5328.04	Fe	80	1083	947
5495.87	Ar	1	1346	686
5558.7	Ar	1	1444	586
5606.73	Ar	1	1522	510
5650.7	Ar	1	1594	439
5888.58	Ar	1	1984	46
5912.09	Ar	1	2024	7
