slitID	 headID	 type	 px	 subpx	 ra	 dec
1	  S1	  sky	2011	2012	0	-600
2	1	  obj	2005	2005.9	1.0751	38.4834
3	2	  obj	1998	1999	1.0751	36.0006
4	3	  obj	1992	1993	1.0751	33.5178
5	4	  obj	1985	1986	1.0751	31.035
6	5	  obj	1979	1980	1.0751	28.5522
7	6	  obj	1972	1973	1.0751	26.0694
8	7	  obj	1966	1967	1.0751	23.5866
9	8	  obj	1960	1960.9	1.0751	21.1038
10	  S2	  sky	1953	1954	0	-600
11	9	  obj	1947	1947.9	1.0751	18.621
12	10	  obj	1940	1941	1.0751	16.1382
13	11	  obj	1934	1934.9	1.0751	13.6554
14	12	  obj	1928	1928.9	1.0751	11.1726
15	13	  obj	1921	1922	1.0751	8.6898
16	14	  obj	1915	1915.9	1.0751	6.207
17	15	  obj	1908	1909	1.0751	3.7242
18	16	  obj	1902	1902.9	1.0751	1.2414
19	  -	  blank	 nan	 nan	 nan	 nan
20	  S3	  sky	1889	1889.9	0	-600
21	17	  obj	1883	1883.9	1.0751	-1.2414
22	18	  obj	1876	1876.9	1.0751	-3.7242
23	19	  obj	1870	1870.9	1.0751	-6.207
24	20	  obj	1863	1863.9	1.0751	-8.6898
25	21	  obj	1857	1857.9	1.0751	-11.1726
26	22	  obj	1851	1851.8	1.0751	-13.6554
27	23	  obj	1844	1844.9	1.0751	-16.1382
28	24	  obj	1838	1838.8	1.0751	-18.621
29	  S4	  sky	1831	1831.9	0	-600
30	25	  obj	1825	1825.9	1.0751	-21.1038
31	26	  obj	1818	1818.9	1.0751	-23.5866
32	27	  obj	1812	1812.9	1.0751	-26.0694
33	28	  obj	1805	1805.9	1.0751	-28.5522
34	29	  obj	1799	1799.9	1.0751	-31.035
35	30	  obj	1793	1793.8	1.0751	-33.5178
36	31	  obj	1786	1786.9	1.0751	-36.0006
37	32	  obj	1780	1780.8	1.0751	-38.4834
38	  -	  blank	 nan	 nan	 nan	 nan
39	  _S5_	  blank	1767	1767.8	 nan	 nan
40	33	  obj	1760	1760.9	3.2253	39.7248
41	34	  obj	1754	1754.8	3.2253	37.242
42	35	  obj	1747	1747.9	3.2253	34.7592
43	36	  obj	1741	1741.8	3.2253	32.2764
44	37	  obj	1734	1734.9	3.2253	29.7936
45	38	  obj	1728	1728.8	3.2253	27.3108
46	39	  obj	1722	1722.8	3.2253	24.828
47	40	  obj	1715	1715.8	3.2253	22.3452
48	  S6	  sky	1709	1709.8	0	-600
49	41	  obj	1702	1702.8	3.2253	19.8624
50	42	  obj	1696	1696.8	3.2253	17.3796
51	43	  obj	1689	1689.9	3.2253	14.8968
52	44	  obj	1683	1683.8	3.2253	12.414
53	45	  obj	1676	1676.8	3.2253	9.9312
54	46	  obj	1670	1670.8	3.2253	7.4484
55	47	  obj	1663	1663.8	3.2253	4.9656
56	48	  obj	1657	1657.8	3.2253	2.4828
57	  -	  blank	 nan	 nan	 nan	 nan
58	  S7	  sky	1644	1644.8	0	-600
59	49	  obj	1638	1638.8	3.2253	0
60	50	  obj	1631	1631.8	3.2253	-2.4828
61	51	  obj	1624	1624.8	3.2253	-4.9656
62	52	  obj	1618	1618.8	3.2253	-7.4484
63	53	  obj	1611	1611.8	3.2253	-9.9312
64	54	  obj	1605	1605.8	3.2253	-12.414
65	55	  obj	1599	1599.7	3.2253	-14.8968
66	56	  obj	1592	1592.8	3.2253	-17.3796
67	  S8	  sky	1586	1586.7	0	-600
68	57	  obj	1579	1579.8	3.2253	-19.8624
69	58	  obj	1573	1573.7	3.2253	-22.3452
70	59	  obj	1566	1566.8	3.2253	-24.828
71	60	  obj	1560	1560.7	3.2253	-27.3108
72	61	  obj	1553	1553.8	3.2253	-29.7936
73	62	  obj	1547	1547.7	3.2253	-32.2764
74	63	  obj	1540	1540.8	3.2253	-34.7592
75	64	  obj	1534	1534.7	3.2253	-37.242
76	  -	  blank	 nan	 nan	 nan	 nan
77	  S9	  sky	1521	1521.7	0	-600
78	65	  obj	1515	1515.7	5.3754	38.4834
79	66	  obj	1508	1508.7	5.3754	36.0006
80	67	  obj	1502	1502.7	5.3754	33.5178
81	68	  obj	1495	1495.7	5.3754	31.035
82	69	  obj	1489	1489.7	5.3754	28.5522
83	70	  obj	1482	1482.7	5.3754	26.0694
84	71	  obj	1476	1476.7	5.3754	23.5866
85	72	  obj	1469	1469.7	5.3754	21.1038
86	  S10	  sky	1463	1463.7	0	-600
87	73	  obj	1456	1456.7	5.3754	18.621
88	74	  obj	1450	1450.7	5.3754	16.1382
89	75	  obj	1443	1443.7	5.3754	13.6554
90	76	  obj	1437	1437.7	5.3754	11.1726
91	77	  obj	1430	1430.7	5.3754	8.6898
92	78	  obj	1424	1424.7	5.3754	6.207
